"","Bracket","Picks","Round","Game"
"209","The John Wall-Stars","Louisville",32,"G20"
"210","The John Wall-Stars","Providence",32,"G21"
"211","The John Wall-Stars","Oklahoma",32,"G22"
"212","The John Wall-Stars","Michigan St.",32,"G23"
"213","The John Wall-Stars","Virginia",32,"G24"
"214","The John Wall-Stars","Duke",32,"G25"
"215","The John Wall-Stars","St. John's",32,"G26"
"216","The John Wall-Stars","Utah",32,"G27"
"217","The John Wall-Stars","Georgetown",32,"G28"
"218","The John Wall-Stars","SMU",32,"G29"
"219","The John Wall-Stars","Iowa St.",32,"G30"
"220","The John Wall-Stars","Iowa",32,"G31"
"221","The John Wall-Stars","Gonzaga",32,"G32"
"222","The John Wall-Stars","Kentucky",16,"G33"
"223","The John Wall-Stars","Maryland",16,"G34"
"224","The John Wall-Stars","Notre Dame",16,"G35"
"225","The John Wall-Stars","Wichita St.",16,"G36"
"226","The John Wall-Stars","Wisconsin",16,"G37"
"227","The John Wall-Stars","N. Carolina",16,"G38"
"228","The John Wall-Stars","Baylor",16,"G39"
"229","The John Wall-Stars","Arizona",16,"G40"
"230","The John Wall-Stars","Villanova",16,"G41"
"231","The John Wall-Stars","Northern Iowa",16,"G42"
"232","The John Wall-Stars","Oklahoma",16,"G43"
"233","The John Wall-Stars","Virginia",16,"G44"
"234","The John Wall-Stars","Duke",16,"G45"
"235","The John Wall-Stars","Utah",16,"G46"
"236","The John Wall-Stars","SMU",16,"G47"
"237","The John Wall-Stars","Gonzaga",16,"G48"
"238","The John Wall-Stars","Kentucky",8,"G49"
"239","The John Wall-Stars","Notre Dame",8,"G50"
"240","The John Wall-Stars","Wisconsin",8,"G51"
"241","The John Wall-Stars","Arizona",8,"G52"
"242","The John Wall-Stars","Villanova",8,"G53"
"243","The John Wall-Stars","Virginia",8,"G54"
"244","The John Wall-Stars","Duke",8,"G55"
"245","The John Wall-Stars","Gonzaga",8,"G56"
"246","The John Wall-Stars","Kentucky",4,"G57"
"247","The John Wall-Stars","Wisconsin",4,"G58"
"248","The John Wall-Stars","Villanova",4,"G59"
"249","The John Wall-Stars","Duke",4,"G60"
"250","The John Wall-Stars","Kentucky",2,"G61"
"251","The John Wall-Stars","Duke",2,"G62"
"252","The John Wall-Stars","Kentucky",1,"G63"
"253","paul's Astonishing Bracket","Kentucky",32,"G1"
"254","paul's Astonishing Bracket","Cincinnati",32,"G2"
"255","paul's Astonishing Bracket","West Virginia",32,"G3"
"256","paul's Astonishing Bracket","Maryland",32,"G4"
"257","paul's Astonishing Bracket","Butler",32,"G5"
"258","paul's Astonishing Bracket","Notre Dame",32,"G6"
"259","paul's Astonishing Bracket","Wichita St.",32,"G7"
"260","paul's Astonishing Bracket","Kansas",32,"G8"
"261","paul's Astonishing Bracket","Wisconsin",32,"G9"
"262","paul's Astonishing Bracket","Oklahoma St.",32,"G10"
"263","paul's Astonishing Bracket","Arkansas",32,"G11"
"264","paul's Astonishing Bracket","N. Carolina",32,"G12"
"265","paul's Astonishing Bracket","Mississippi",32,"G13"
"266","paul's Astonishing Bracket","Baylor",32,"G14"
"267","paul's Astonishing Bracket","Ohio St.",32,"G15"
"268","paul's Astonishing Bracket","Arizona",32,"G16"
"269","paul's Astonishing Bracket","Villanova",32,"G17"
"270","paul's Astonishing Bracket","N.C. State",32,"G18"
"271","paul's Astonishing Bracket","Northern Iowa",32,"G19"
"272","paul's Astonishing Bracket","Louisville",32,"G20"
"273","paul's Astonishing Bracket","Providence",32,"G21"
"274","paul's Astonishing Bracket","Oklahoma",32,"G22"
"275","paul's Astonishing Bracket","Michigan St.",32,"G23"
"276","paul's Astonishing Bracket","Virginia",32,"G24"
"277","paul's Astonishing Bracket","Duke",32,"G25"
"278","paul's Astonishing Bracket","St. John's",32,"G26"
"279","paul's Astonishing Bracket","Utah",32,"G27"
"280","paul's Astonishing Bracket","Georgetown",32,"G28"
"281","paul's Astonishing Bracket","SMU",32,"G29"
"282","paul's Astonishing Bracket","Iowa St.",32,"G30"
"283","paul's Astonishing Bracket","Iowa",32,"G31"
"284","paul's Astonishing Bracket","Gonzaga",32,"G32"
"285","paul's Astonishing Bracket","Kentucky",16,"G33"
"286","paul's Astonishing Bracket","Maryland",16,"G34"
"287","paul's Astonishing Bracket","Butler",16,"G35"
"288","paul's Astonishing Bracket","Kansas",16,"G36"
"289","paul's Astonishing Bracket","Wisconsin",16,"G37"
"290","paul's Astonishing Bracket","N. Carolina",16,"G38"
"291","paul's Astonishing Bracket","Baylor",16,"G39"
"292","paul's Astonishing Bracket","Arizona",16,"G40"
"293","paul's Astonishing Bracket","Villanova",16,"G41"
"294","paul's Astonishing Bracket","Louisville",16,"G42"
"295","paul's Astonishing Bracket","Oklahoma",16,"G43"
"296","paul's Astonishing Bracket","Virginia",16,"G44"
"297","paul's Astonishing Bracket","Duke",16,"G45"
"298","paul's Astonishing Bracket","Georgetown",16,"G46"
"299","paul's Astonishing Bracket","Iowa St.",16,"G47"
"300","paul's Astonishing Bracket","Gonzaga",16,"G48"
"301","paul's Astonishing Bracket","Kentucky",8,"G49"
"302","paul's Astonishing Bracket","Butler",8,"G50"
"303","paul's Astonishing Bracket","Wisconsin",8,"G51"
"304","paul's Astonishing Bracket","Baylor",8,"G52"
"305","paul's Astonishing Bracket","Villanova",8,"G53"
"306","paul's Astonishing Bracket","Oklahoma",8,"G54"
"307","paul's Astonishing Bracket","Duke",8,"G55"
"308","paul's Astonishing Bracket","Gonzaga",8,"G56"
"309","paul's Astonishing Bracket","Kentucky",4,"G57"
"310","paul's Astonishing Bracket","Wisconsin",4,"G58"
"311","paul's Astonishing Bracket","Villanova",4,"G59"
"312","paul's Astonishing Bracket","Duke",4,"G60"
"313","paul's Astonishing Bracket","Kentucky",2,"G61"
"314","paul's Astonishing Bracket","Villanova",2,"G62"
"315","paul's Astonishing Bracket","Kentucky",1,"G63"
"316","Kristen's Big Dick Bracket","Kentucky",32,"G1"
"317","Kristen's Big Dick Bracket","Purdue",32,"G2"
"318","Kristen's Big Dick Bracket","West Virginia",32,"G3"
"319","Kristen's Big Dick Bracket","Maryland",32,"G4"
"320","Kristen's Big Dick Bracket","Texas",32,"G5"
"321","Kristen's Big Dick Bracket","Notre Dame",32,"G6"
"322","Kristen's Big Dick Bracket","Wichita St.",32,"G7"
"323","Kristen's Big Dick Bracket","Kansas",32,"G8"
"324","Kristen's Big Dick Bracket","Wisconsin",32,"G9"
"325","Kristen's Big Dick Bracket","Oregon",32,"G10"
"326","Kristen's Big Dick Bracket","Arkansas",32,"G11"
"327","Kristen's Big Dick Bracket","N. Carolina",32,"G12"
"328","Kristen's Big Dick Bracket","Xavier",32,"G13"
"329","Kristen's Big Dick Bracket","Baylor",32,"G14"
"330","Kristen's Big Dick Bracket","VCU",32,"G15"
"331","Kristen's Big Dick Bracket","Arizona",32,"G16"
"332","Kristen's Big Dick Bracket","Villanova",32,"G17"
"333","Kristen's Big Dick Bracket","N.C. State",32,"G18"
"334","Kristen's Big Dick Bracket","Northern Iowa",32,"G19"
"335","Kristen's Big Dick Bracket","Louisville",32,"G20"
"336","Kristen's Big Dick Bracket","Providence",32,"G21"
"337","Kristen's Big Dick Bracket","Oklahoma",32,"G22"
"338","Kristen's Big Dick Bracket","Michigan St.",32,"G23"
"339","Kristen's Big Dick Bracket","Virginia",32,"G24"
